Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,08/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Kingdom,GBR,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,34.60346964,32.94096275,34.61937753,33.10039926,32.70836205,35.43340875,35.74617997,35.83366932,39.16331364,37.88239579,38.51095561,42.37585659,45.42307273,46.16780478,46.96431518,48.26450224,32.28355912,32.38348321,31.08038864,31.1578318,29.38943987,33.86426967,35.67668067,34.66457572,36.49904235,35.36005195,37.44500272,36.90702226,41.31452038,44.79950427,44.85570611,44.66597747,45.57734987,44.99761046,45.58442613,43.60246105,42.83418012,41.86781917,42.56003408,43.38633872,45.17242401,44.03315426,45.41563432,45.31571434,46.5622302,48.29796685,49.21519415,51.27615695,53.19466948,53.90066927,60.14797354
United Kingdom,GBR,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,79.76570909,79.47089786,79.8634223,80.9550158,80.96255419,80.84355187,81.06723391,82.09198525,80.08930238,81.97795435,81.16591479,79.63052886,78.7978744,80.58860021,80.41889814,78.87274003,78.37729286,74.95911613,71.48547907,66.31607897,65.14482019,63.19688393,63.97559694,65.28687594,72.81974632,74.52812104,79.61123795,80.10183578,79.69797372,79.86818917,77.99327466,78.61105936,79.71878769,81.9230852,82.53354,82.50082609,84.29635092,83.73753242,75.20929877,75.42137418,77.92027429,77.32139846,75.98308567,75.21512363,76.95280689,72.69075622,67.97281055,66.14101924,67.88722467,62.90588505,65.81741222,58.51432078,68.24964839,71.64817018,76.18123421,74.01976228,68.98922128,71.78205766,68.30491417
United Kingdom,GBR,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,12558400000,12276900000,12536200000,13525100000,15740800000,15945500000,16608400000,17677000000,18958200000,19956200000,21727100000,24301200000,28229900000,39370300000,55017800000,54153400000,55895300000,63163800000,75815400000,99589900000,1.1573E+11,1.02632E+11,99566900000,1.00031E+11,1.04719E+11,1.08953E+11,1.26307E+11,1.54388E+11,1.89756E+11,1.99401E+11,2.23036E+11,2.09927E+11,2.21549E+11,2.05385E+11,2.26008E+11,2.62504E+11,2.83603E+11,3.02838E+11,3.09792E+11,3.2108E+11,3.47198E+11,3.43607E+11,3.63399E+11,3.9924E+11,4.70257E+11,5.18167E+11,6.119E+11,6.38727E+11,6.59923E+11,5.1948E+11,5.8945E+11,6.79162E+11,6.96084E+11,6.60569E+11,6.8961E+11,6.2642E+11,6.36837E+11,6.43502E+11,6.7366E+11,6.93592E+11,
United Kingdom,GBR,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,11.88860028,11.66724628,10.60986618,10.70221151,10.53089429,11.35280926,11.46056744,10.94709568,10.44841496,12.70475773,11.15424775,10.89478183,20.02023173,17.9249004,18.11783065,14.34615734,11.70548465,11.88090014,13.46841495,14.11754329,12.99800228,10.7353144,13.05464146,12.50695961,7.436791973,6.466468293,4.727304842,5.127661969,6.238085834,6.508710622,5.541283354,5.371398956,4.188979926,3.53445101,3.866122889,3.50636518,2.470705434,2.688571993,4.050142411,4.146618899,4.044616551,4.433778412,6.043479645,8.584700057,9.557266636,9.565282797,12.3947905,9.157787531,10.15231139,12.84092993,13.94645301,13.53090538,11.81231719,8.085022513,6.281152524,8.117741481,10.08727208,8.191553806,5.309936128
United Kingdom,GBR,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,4.26,2.87,2.8,2.86,3.05,3.05,2.83,2.66,2.69,3.02,2.5,2.51,2.47,2.93,2.9,2.68,2.62,2.44,2.55,1.88
United Kingdom,GBR,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24926000000,25962000000,28529000000,33452000000,41531000000,41894000000,41980000000,46746000000,53888000000,62843000000,65798000000,69018000000,79463000000,77739000000,60554000000,60353000000,60446000000,61169000000,60427000000,67132000000,68395000000,67108000000,66639000000,70729000000,71516000000,21698000000
United Kingdom,GBR,Completeness of birth registration (%),SP.REG.BRTH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100,,,100,,,
United Kingdom,GBR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,,,1.051,,,,,1.051,,,,,1.051,,,,,1.051,,,,,1.051,,,,,1.051,,,1.051,,1.051,,,,,1.051,,,,,1.051,,,,,1.051,1.051,1.051,1.051,1.051,1.051,1.051,1.051,1.051,1.051,1.051,1.051,1.051,
United Kingdom,GBR,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,5.60259618,5.637612044,5.690805852,5.75501681,5.819948443,5.879948704,5.898938751,5.918018456,5.935571168,5.951777813,5.965849496,5.957783677,5.957008065,5.950954373,5.918562716,5.848234249,5.715022952,5.537348582,5.357371529,5.237858757,5.212269324,5.247851856,5.37510504,5.542713286,5.673383434,5.722233225,5.671604414,5.55715387,5.405363935,5.258278499,5.141076082,5.032476398,4.949120374,4.889109668,4.84812688,4.823577953,4.803821392,4.806255365,4.825748227,4.855976387,4.894299206,4.917972605,4.940833309,4.979614654,5.060456767,5.194435132,5.358490313,5.581797605,5.813036402,5.977342497,6.033953547,5.98093783,5.830484405,5.633445185,5.469562489,5.387232556,5.369776318,5.420765455,5.523370879,5.649479153,5.780342293
United Kingdom,GBR,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,6.155606479,6.175504667,6.194975002,6.226454355,6.292733203,6.406298688,6.56261087,6.802611024,7.070742874,7.273859073,7.351747928,7.283220074,7.088210531,6.834061634,6.622544318,6.513424218,6.467090145,6.504270732,6.619423236,6.78915024,6.990624135,7.196699874,7.448239662,7.71748149,7.95442268,8.118123697,8.160479351,8.125587255,8.026112926,7.881026002,7.701746019,7.495153334,7.254602311,6.995998949,6.740812365,6.502434625,6.315778084,6.143081357,5.992840493,5.878356041,5.805481386,5.816820247,5.892240524,6.011982719,6.141741335,6.251390132,6.380178017,6.486088049,6.566372635,6.618805971,6.636700603,6.581576967,6.513248027,6.434552364,6.349167523,6.257680887,6.168773012,6.084829207,6.004187441,5.920899451,5.829227691
